,CO2_net,CO2_nonbio,CO2_bio,Life_carbonation,EOL_carbonation,CH4,N2O,MN,Net,Low_Error,High_Error
BAU_C1_Static_20_SSP1,1265385.0922757306,1452651.6185388272,-19659.199637990896,-33481.11846168507,-134126.20816342064,295284.4321214034,6764.971673562434,302049.4037949658,1567434.4960706963,0.0,0.0
BAU_C2_Static_20_SSP1,1355023.9833714657,1467448.3962987273,-19659.199637990896,-33481.11846168507,-59284.0948275857,297474.09767749533,6904.299615238416,304378.3972927338,1659402.3806641991,0.0,0.0
BAU_C3_Static_20_SSP1,1284478.1760761635,1455803.3321987272,-19659.199637990896,-33481.11846168507,-118184.83802288781,295750.830886201,6794.648524964927,302545.4794111659,1587023.6554873292,0.0,0.0
LC3_C1_Static_20_SSP1,1138353.3242687879,1260714.7445388266,-19659.199637990896,-31300.871096586212,-71401.3495354618,296362.99014818494,6306.665360098091,302669.655508283,1441022.9797770705,0.0,0.0
LC3_C2_Static_20_SSP1,1192230.736013985,1275511.5222987267,-19659.199637990896,-31300.871096586212,-32320.715550164718,298552.65570427687,6445.993301774072,304998.64900605095,1497229.3850200358,0.0,0.0
LC3_C3_Static_20_SSP1,1149829.2129675562,1263866.4581987266,-19659.199637990896,-31300.871096586212,-63077.17449659347,296829.38891298254,6336.342211500583,303165.7311244831,1452994.944092039,0.0,0.0
EST_T1_Static_20_SSP1,48208.341702639256,845546.7019800015,-744950.5477458382,0.0,-52387.81253152409,124886.84122737526,9737.744154565542,134624.5853819408,182832.92708457995,0.0,0.0
EST_T2_Static_20_SSP1,736468.0555384776,788855.8680700015,2.3283064365386963e-10,0.0,-52387.81253152409,123426.19223202426,4506.664521197354,127932.85675322161,864400.9122916992,0.0,0.0
EST_T3_Static_20_SSP1,906246.261278478,958634.0738100018,2.3283064365386963e-10,0.0,-52387.81253152409,159189.14267791813,6129.179703043121,165318.32238096127,1071564.583659439,0.0,0.0
EST_T4_Static_20_SSP1,184979.05855970806,982317.4188370703,-744950.5477458382,0.0,-52387.81253152409,4821535.017427349,6224.000567997554,4827759.017995347,5012738.076555056,0.0,0.0
EST_T5_Static_20_SSP1,342245.13853171177,1139583.498809074,-744950.5477458382,0.0,-52387.81253152409,162451.2577194473,6224.000567997554,168675.25828744486,510920.3968191567,0.0,0.0
EST_T6_Static_20_SSP1,214793.0686074826,1012131.4288848449,-744950.5477458382,0.0,-52387.81253152409,-65652.39156157747,3667.4958712183593,-61984.89569035912,152808.17291712353,0.0,0.0
EST_T7_Static_20_SSP1,249339.28718441818,979632.098164655,-677904.9984487128,0.0,-52387.81253152409,2364391.504577044,6541.636944439044,2370933.141521483,2620272.4287059014,0.0,0.0
BAU_C1_Static_100_SSP1,1265385.0922757306,1452651.6185388272,-19659.199637990896,-33481.11846168508,-134126.20816342067,101683.3458952522,6887.033484201368,108570.37937945357,1373955.4716551842,0.0,0.0
BAU_C2_Static_100_SSP1,1355023.9833714657,1467448.3962987273,-19659.199637990896,-33481.11846168508,-59284.09482758571,102437.37318526347,7028.875349313279,109466.24853457675,1464490.2319060422,0.0,0.0
BAU_C3_Static_100_SSP1,1284478.1760761635,1455803.3321987272,-19659.199637990896,-33481.11846168508,-118184.83802288781,101843.9537084895,6917.2458012925645,108761.19950978206,1393239.3755859453,0.0,0.0
LC3_C1_Static_100_SSP1,1138353.3242687879,1260714.7445388266,-19659.199637990896,-31300.871096586216,-71401.34953546179,102054.7552110682,6420.457853266364,108475.21306433456,1246828.5373331222,0.0,0.0
LC3_C2_Static_100_SSP1,1192230.736013985,1275511.5222987267,-19659.199637990896,-31300.871096586216,-32320.71555016472,102808.78250107946,6562.2997183782745,109371.08221945773,1301601.8182334425,0.0,0.0
LC3_C3_Static_100_SSP1,1149829.2129675562,1263866.4581987266,-19659.199637990896,-31300.871096586216,-63077.17449659347,102215.3630243055,6450.67017035756,108666.03319466306,1258495.246162219,0.0,0.0
EST_T1_Static_100_SSP1,48208.34170263949,845546.7019800018,-744950.5477458382,0.0,-52387.81253152409,43005.69380869901,9913.44432603707,52919.13813473608,101127.47983737558,0.0,0.0
EST_T2_Static_100_SSP1,736468.0555384778,788855.8680700017,2.3283064365386963e-10,0.0,-52387.81253152409,42502.7086836154,4587.9792196090775,47090.687903224476,783558.7434417023,0.0,0.0
EST_T3_Static_100_SSP1,906246.2612784781,958634.073810002,2.3283064365386963e-10,0.0,-52387.81253152409,54817.94126902133,6239.769785069418,61057.711054090745,967303.9723325688,0.0,0.0
EST_T4_Static_100_SSP1,184979.05855970818,982317.4188370705,-744950.5477458382,0.0,-52387.81253152409,1660330.7170679641,6336.301522887948,1666667.0185908522,1851646.07715056,0.0,0.0
EST_T5_Static_100_SSP1,342245.13853171177,1139583.498809074,-744950.5477458382,0.0,-52387.81253152409,55941.27435412464,6336.301522887948,62277.57587701258,404522.71440872445,0.0,0.0
EST_T6_Static_100_SSP1,214793.06860748283,1012131.4288848451,-744950.5477458382,0.0,-52387.81253152409,-22607.879433554917,3733.6692726978035,-18874.210160857114,195918.85844662564,0.0,0.0
EST_T7_Static_100_SSP1,249339.2871844183,979632.0981646552,-677904.9984487128,0.0,-52387.81253152409,814195.4435744084,6659.669079459099,820855.1126538676,1070194.3998382858,0.0,0.0
BAU_C1_Static_200_SSP1,1265385.092275724,1452651.6185388197,-19659.1996379908,-33481.118461684906,-134126.20816341997,60038.66673341442,5843.93991033968,65882.6066437541,1331267.6989194779,0.0,0.0
BAU_C2_Static_200_SSP1,1355023.9833714585,1467448.3962987198,-19659.1996379908,-33481.118461684906,-59284.09482758542,60483.880182817644,5964.298746751035,66448.17892956868,1421472.162301027,0.0,0.0
BAU_C3_Static_200_SSP1,1284478.176076157,1455803.33219872,-19659.1996379908,-33481.118461684906,-118184.83802288723,60133.49719841181,5869.576342344563,66003.07354075638,1350481.2496169133,0.0,0.0
LC3_C1_Static_200_SSP1,1138353.3242687816,1260714.74453882,-19659.1996379908,-31300.87109658606,-71401.34953546144,60257.964396543386,5448.030705445032,65705.99510198842,1204059.31937077,0.0,0.0
LC3_C2_Static_200_SSP1,1192230.7360139787,1275511.5222987202,-19659.1996379908,-31300.87109658606,-32320.715550164557,60703.17784594661,5568.389541856387,66271.56738780299,1258502.3034017817,0.0,0.0
LC3_C3_Static_200_SSP1,1149829.2129675501,1263866.4581987204,-19659.1996379908,-31300.87109658606,-63077.17449659316,60352.79486154076,5473.667137449916,65826.46199899068,1215655.6749665407,0.0,0.0
EST_T1_Static_200_SSP1,48208.34170263905,845546.7019799975,-744950.5477458346,0.0,-52387.81253152383,25392.599894180934,8411.977824524338,33804.57771870527,82012.9194213443,0.0,0.0
EST_T2_Static_200_SSP1,736468.0555384739,788855.8680699976,1.1641532182693481e-10,0.0,-52387.81253152383,25095.613637180024,3893.0948906794433,28988.708527859468,765456.7640663334,0.0,0.0
EST_T3_Static_200_SSP1,906246.2612784734,958634.0738099972,1.1641532182693481e-10,0.0,-52387.81253152383,32367.11064025214,5294.709218700327,37661.81985895247,943908.0811374258,0.0,0.0
EST_T4_Static_200_SSP1,184979.05855970707,982317.4188370655,-744950.5477458346,0.0,-52387.81253152383,980337.9472975126,5376.620491027701,985714.5677885403,1170693.626348247,0.0,0.0
EST_T5_Static_200_SSP1,342245.1385317101,1139583.4988090685,-744950.5477458346,0.0,-52387.81253152383,33030.37973445182,5376.620491027701,38407.00022547952,380652.1387571895,0.0,0.0
EST_T6_Static_200_SSP1,214793.0686074816,1012131.42888484,-744950.5477458346,0.0,-52387.81253152383,-13348.76352572694,3168.1766793758857,-10180.586846351054,204612.4817611305,0.0,0.0
EST_T7_Static_200_SSP1,249339.28718441696,979632.0981646503,-677904.9984487095,0.0,-52387.81253152383,480739.5789570582,5651.011573035676,486390.5905300939,735729.8777145108,0.0,0.0
BAU_C1_Static_20_SSP2,1223624.9793752003,1452651.6185388272,-19659.199637990896,-36802.36055683492,-172565.07896880098,295284.4321214034,6764.971673562434,302049.4037949658,1525674.3831701663,56910.22906545922,41760.11290052999
BAU_C2_Static_20_SSP2,1334710.2156149878,1467448.3962987273,-19659.199637990896,-36802.36055683492,-76276.62048891382,297474.09767749533,6904.299615238416,304378.3972927338,1639088.6129077212,26734.426858553896,20313.76775647793
BAU_C3_Static_20_SSP2,1247286.1346913164,1455803.3321987272,-19659.199637990896,-36802.36055683492,-152055.63731258505,295750.830886201,6794.648524964927,302545.4794111659,1549831.614102482,50482.78319538827,37192.041384847136
LC3_C1_Static_20_SSP2,1114785.6815177868,1260714.7445388266,-19659.199637990896,-34405.83817884862,-91864.02520420021,296362.99014818494,6306.665360098091,302669.655508283,1417455.3370260696,31430.503491897136,23567.64275100082
LC3_C2_Static_20_SSP2,1179861.785954062,1275511.5222987267,-19659.199637990896,-34405.83817884862,-41584.698527825225,298552.65570427687,6445.993301774072,304998.64900605095,1484860.434960113,15673.58350932994,12368.950059922878
LC3_C3_Static_20_SSP2,1128646.8917597549,1263866.4581987266,-19659.199637990896,-34405.83817884862,-81154.52862213235,296829.38891298254,6336.342211500583,303165.7311244831,1431812.622884238,28074.279535610694,21182.321207801113
EST_T1_Static_20_SSP2,33194.42694702651,845546.7019800015,-744950.5477458382,0.0,-67401.72728713683,124886.84122737526,9737.744154565542,134624.5853819408,167819.01232896734,21127.895311319735,15013.914755612612
EST_T2_Static_20_SSP2,721454.1407828649,788855.8680700015,2.3283064365386963e-10,0.0,-67401.72728713683,123426.19223202426,4506.664521197354,127932.85675322161,849386.9975360865,21127.89531131962,15013.914755612728
EST_T3_Static_20_SSP2,891232.3465228652,958634.0738100018,2.3283064365386963e-10,0.0,-67401.72728713683,159189.14267791813,6129.179703043121,165318.32238096127,1056550.6689038265,21127.895311319735,15013.914755612612
EST_T4_Static_20_SSP2,169965.14380409534,982317.4188370703,-744950.5477458382,0.0,-67401.72728713683,4821535.017427349,6224.000567997554,4827759.017995347,4997724.161799443,21127.89531131927,15013.914755612612
EST_T5_Static_20_SSP2,327231.22377609904,1139583.498809074,-744950.5477458382,0.0,-67401.72728713683,162451.2577194473,6224.000567997554,168675.25828744486,495906.48206354387,21127.895311319502,15013.914755612845
EST_T6_Static_20_SSP2,199779.15385186987,1012131.4288848449,-744950.5477458382,0.0,-67401.72728713683,-65652.39156157747,3667.4958712183593,-61984.89569035912,137794.2581615108,21127.89531131962,15013.914755612728
EST_T7_Static_20_SSP2,234325.37242880545,979632.098164655,-677904.9984487128,0.0,-67401.72728713683,2364391.504577044,6541.636944439044,2370933.141521483,2605258.5139502888,21127.895311319735,15013.914755612612
BAU_C1_Static_100_SSP2,1223624.9793752003,1452651.6185388272,-19659.199637990896,-36802.36055683492,-172565.07896880095,101683.3458952522,6887.033484201368,108570.37937945357,1332195.358754654,56910.22906545922,41760.11290053022
BAU_C2_Static_100_SSP2,1334710.2156149878,1467448.3962987273,-19659.199637990896,-36802.36055683492,-76276.62048891383,102437.37318526347,7028.875349313279,109466.24853457675,1444176.4641495643,26734.426858553896,20313.76775647793
BAU_C3_Static_100_SSP2,1247286.1346913164,1455803.3321987272,-19659.199637990896,-36802.36055683492,-152055.63731258505,101843.9537084895,6917.2458012925645,108761.19950978206,1356047.3342010982,50482.78319538827,37192.041384847136
LC3_C1_Static_100_SSP2,1114785.6815177868,1260714.7445388266,-19659.199637990896,-34405.838178848615,-91864.02520420021,102054.7552110682,6420.457853266364,108475.21306433456,1223260.8945821214,31430.5034918976,23567.64275100082
LC3_C2_Static_100_SSP2,1179861.785954062,1275511.5222987267,-19659.199637990896,-34405.838178848615,-41584.698527825225,102808.78250107946,6562.2997183782745,109371.08221945773,1289232.8681735196,15673.58350932994,12368.950059922878
LC3_C3_Static_100_SSP2,1128646.8917597549,1263866.4581987266,-19659.199637990896,-34405.838178848615,-81154.52862213236,102215.3630243055,6450.67017035756,108666.03319466306,1237312.9249544179,28074.279535610694,21182.321207801113
EST_T1_Static_100_SSP2,33194.42694702673,845546.7019800018,-744950.5477458382,0.0,-67401.72728713685,43005.69380869901,9913.44432603707,52919.13813473608,86113.56508176285,21127.89531131962,15013.914755612728
EST_T2_Static_100_SSP2,721454.1407828651,788855.8680700017,2.3283064365386963e-10,0.0,-67401.72728713685,42502.7086836154,4587.9792196090775,47090.687903224476,768544.8286860896,21127.89531131962,15013.914755612728
EST_T3_Static_100_SSP2,891232.3465228654,958634.073810002,2.3283064365386963e-10,0.0,-67401.72728713685,54817.94126902133,6239.769785069418,61057.711054090745,952290.0575769561,21127.89531131962,15013.914755612728
EST_T4_Static_100_SSP2,169965.14380409545,982317.4188370705,-744950.5477458382,0.0,-67401.72728713685,1660330.7170679641,6336.301522887948,1666667.0185908522,1836632.1623949474,21127.895311319735,15013.914755612612
EST_T5_Static_100_SSP2,327231.22377609904,1139583.498809074,-744950.5477458382,0.0,-67401.72728713685,55941.27435412464,6336.301522887948,62277.57587701258,389508.7996531116,21127.895311319502,15013.914755612845
EST_T6_Static_100_SSP2,199779.1538518701,1012131.4288848451,-744950.5477458382,0.0,-67401.72728713685,-22607.879433554917,3733.6692726978035,-18874.210160857114,180904.94369101292,21127.89531131962,15013.914755612728
EST_T7_Static_100_SSP2,234325.37242880557,979632.0981646552,-677904.9984487128,0.0,-67401.72728713685,814195.4435744084,6659.669079459099,820855.1126538676,1055180.4850826731,21127.895311319735,15013.914755612612
BAU_C1_Static_200_SSP2,1223624.9793751938,1452651.6185388197,-19659.1996379908,-36802.36055683474,-172565.0789688001,60038.66673341442,5843.93991033968,65882.6066437541,1289507.586018948,56910.22906545899,41760.11290052999
BAU_C2_Static_200_SSP2,1334710.2156149806,1467448.3962987198,-19659.1996379908,-36802.36055683474,-76276.62048891345,60483.880182817644,5964.298746751035,66448.17892956868,1401158.3945445493,26734.426858553896,20313.767756477697
BAU_C3_Static_200_SSP2,1247286.1346913099,1455803.33219872,-19659.1996379908,-36802.36055683474,-152055.63731258432,60133.49719841181,5869.576342344563,66003.07354075638,1313289.2082320664,50482.78319538827,37192.0413848469
LC3_C1_Static_200_SSP2,1114785.681517781,1260714.74453882,-19659.1996379908,-34405.83817884844,-91864.02520419974,60257.964396543386,5448.030705445032,65705.99510198842,1180491.6766197693,31430.50349189737,23567.64275100059
LC3_C2_Static_200_SSP2,1179861.7859540558,1275511.5222987202,-19659.1996379908,-34405.83817884844,-41584.69852782502,60703.17784594661,5568.389541856387,66271.56738780299,1246133.3533418588,15673.58350932994,12368.950059922878
LC3_C3_Static_200_SSP2,1128646.891759749,1263866.4581987204,-19659.1996379908,-34405.83817884844,-81154.52862213194,60352.79486154076,5473.667137449916,65826.46199899068,1194473.3537587395,28074.27953561046,21182.321207801113
EST_T1_Static_200_SSP2,33194.42694702638,845546.7019799975,-744950.5477458346,0.0,-67401.7272871365,25392.599894180934,8411.977824524338,33804.57771870527,66999.00466573169,21127.895311319502,15013.914755612612
EST_T2_Static_200_SSP2,721454.1407828613,788855.8680699976,1.1641532182693481e-10,0.0,-67401.7272871365,25095.613637180024,3893.0948906794433,28988.708527859468,750442.8493107208,21127.895311319502,15013.914755612612
EST_T3_Static_200_SSP2,891232.3465228608,958634.0738099972,1.1641532182693481e-10,0.0,-67401.7272871365,32367.11064025214,5294.709218700327,37661.81985895247,928894.1663818132,21127.895311319502,15013.914755612612
EST_T4_Static_200_SSP2,169965.1438040944,982317.4188370655,-744950.5477458346,0.0,-67401.7272871365,980337.9472975126,5376.620491027701,985714.5677885403,1155679.7115926344,21127.89531131927,15013.914755612612
EST_T5_Static_200_SSP2,327231.2237760974,1139583.4988090685,-744950.5477458346,0.0,-67401.7272871365,33030.37973445182,5376.620491027701,38407.00022547952,365638.2240015769,21127.895311319502,15013.914755612612
EST_T6_Static_200_SSP2,199779.15385186893,1012131.42888484,-744950.5477458346,0.0,-67401.7272871365,-13348.76352572694,3168.1766793758857,-10180.586846351054,189598.5670055179,21127.895311319502,15013.914755612612
EST_T7_Static_200_SSP2,234325.3724288043,979632.0981646503,-677904.9984487095,0.0,-67401.7272871365,480739.5789570582,5651.011573035676,486390.5905300939,720715.9629588982,21127.895311319502,15013.914755612612
BAU_C1_Static_20_SSP3,1166714.750309741,1452651.6185388272,-19659.199637990896,-39621.44556611796,-226656.22302497728,295284.4321214034,6764.971673562434,302049.4037949658,1468764.154104707,0.0,0.0
BAU_C2_Static_20_SSP3,1307975.7887564336,1467448.3962987273,-19659.199637990896,-39621.44556611796,-100191.96233818469,297474.09767749533,6904.299615238416,304378.3972927338,1612354.1860491673,0.0,0.0
BAU_C3_Static_20_SSP3,1196803.351495928,1455803.3321987272,-19659.199637990896,-39621.44556611796,-199719.33549869046,295750.830886201,6794.648524964927,302545.4794111659,1499348.8309070938,0.0,0.0
LC3_C1_Static_20_SSP3,1083355.1780258894,1260714.7445388266,-19659.199637990896,-37041.34799871507,-120659.01887623122,296362.99014818494,6306.665360098091,302669.655508283,1386024.8335341725,0.0,0.0
LC3_C2_Static_20_SSP3,1164188.2024447322,1275511.5222987267,-19659.199637990896,-37041.34799871507,-54622.77221728868,298552.65570427687,6445.993301774072,304998.64900605095,1469186.851450783,0.0,0.0
LC3_C3_Static_20_SSP3,1100572.6122241442,1263866.4581987266,-19659.199637990896,-37041.34799871507,-106593.2983378765,296829.38891298254,6336.342211500583,303165.7311244831,1403738.3433486272,0.0,0.0
EST_T1_Static_20_SSP3,12066.531635706895,845546.7019800015,-744950.5477458382,0.0,-88529.62259845645,124886.84122737526,9737.744154565542,134624.5853819408,146691.1170176476,0.0,0.0
EST_T2_Static_20_SSP3,700326.2454715453,788855.8680700015,2.3283064365386963e-10,0.0,-88529.62259845645,123426.19223202426,4506.664521197354,127932.85675322161,828259.1022247669,0.0,0.0
EST_T3_Static_20_SSP3,870104.4512115456,958634.0738100018,2.3283064365386963e-10,0.0,-88529.62259845645,159189.14267791813,6129.179703043121,165318.32238096127,1035422.7735925068,0.0,0.0
EST_T4_Static_20_SSP3,148837.24849277572,982317.4188370703,-744950.5477458382,0.0,-88529.62259845645,4821535.017427349,6224.000567997554,4827759.017995347,4976596.266488124,0.0,0.0
EST_T5_Static_20_SSP3,306103.3284647794,1139583.498809074,-744950.5477458382,0.0,-88529.62259845645,162451.2577194473,6224.000567997554,168675.25828744486,474778.58675222436,0.0,0.0
EST_T6_Static_20_SSP3,178651.25854055025,1012131.4288848449,-744950.5477458382,0.0,-88529.62259845645,-65652.39156157747,3667.4958712183593,-61984.89569035912,116666.36285019119,0.0,0.0
EST_T7_Static_20_SSP3,213197.47711748583,979632.098164655,-677904.9984487128,0.0,-88529.62259845645,2364391.504577044,6541.636944439044,2370933.141521483,2584130.618638969,0.0,0.0
BAU_C1_Static_100_SSP3,1166714.750309741,1452651.6185388272,-19659.199637990896,-39621.44556611796,-226656.22302497728,101683.3458952522,6887.033484201368,108570.37937945357,1275285.1296891947,0.0,0.0
BAU_C2_Static_100_SSP3,1307975.7887564336,1467448.3962987273,-19659.199637990896,-39621.44556611796,-100191.9623381847,102437.37318526347,7028.875349313279,109466.24853457675,1417442.0372910104,0.0,0.0
BAU_C3_Static_100_SSP3,1196803.3514959277,1455803.3321987272,-19659.199637990896,-39621.44556611796,-199719.3354986905,101843.9537084895,6917.2458012925645,108761.19950978206,1305564.55100571,0.0,0.0
LC3_C1_Static_100_SSP3,1083355.1780258894,1260714.7445388266,-19659.199637990896,-37041.34799871508,-120659.01887623123,102054.7552110682,6420.457853266364,108475.21306433456,1191830.3910902238,0.0,0.0
LC3_C2_Static_100_SSP3,1164188.2024447322,1275511.5222987267,-19659.199637990896,-37041.34799871508,-54622.77221728867,102808.78250107946,6562.2997183782745,109371.08221945773,1273559.2846641897,0.0,0.0
LC3_C3_Static_100_SSP3,1100572.6122241442,1263866.4581987266,-19659.199637990896,-37041.34799871508,-106593.2983378765,102215.3630243055,6450.67017035756,108666.03319466306,1209238.6454188072,0.0,0.0
EST_T1_Static_100_SSP3,12066.531635707128,845546.7019800018,-744950.5477458382,0.0,-88529.62259845645,43005.69380869901,9913.44432603707,52919.13813473608,64985.66977044323,0.0,0.0
EST_T2_Static_100_SSP3,700326.2454715455,788855.8680700017,2.3283064365386963e-10,0.0,-88529.62259845645,42502.7086836154,4587.9792196090775,47090.687903224476,747416.93337477,0.0,0.0
EST_T3_Static_100_SSP3,870104.4512115457,958634.073810002,2.3283064365386963e-10,0.0,-88529.62259845645,54817.94126902133,6239.769785069418,61057.711054090745,931162.1622656365,0.0,0.0
EST_T4_Static_100_SSP3,148837.24849277583,982317.4188370705,-744950.5477458382,0.0,-88529.62259845645,1660330.7170679641,6336.301522887948,1666667.0185908522,1815504.2670836276,0.0,0.0
EST_T5_Static_100_SSP3,306103.3284647794,1139583.498809074,-744950.5477458382,0.0,-88529.62259845645,55941.27435412464,6336.301522887948,62277.57587701258,368380.9043417921,0.0,0.0
EST_T6_Static_100_SSP3,178651.25854055048,1012131.4288848451,-744950.5477458382,0.0,-88529.62259845645,-22607.879433554917,3733.6692726978035,-18874.210160857114,159777.0483796933,0.0,0.0
EST_T7_Static_100_SSP3,213197.47711748595,979632.0981646552,-677904.9984487128,0.0,-88529.62259845645,814195.4435744084,6659.669079459099,820855.1126538676,1034052.5897713534,0.0,0.0
BAU_C1_Static_200_SSP3,1166714.7503097348,1452651.6185388197,-19659.1996379908,-39621.44556611777,-226656.22302497615,60038.66673341442,5843.93991033968,65882.6066437541,1232597.356953489,0.0,0.0
BAU_C2_Static_200_SSP3,1307975.788756427,1467448.3962987198,-19659.1996379908,-39621.44556611777,-100191.96233818421,60483.880182817644,5964.298746751035,66448.17892956868,1374423.9676859954,0.0,0.0
BAU_C3_Static_200_SSP3,1196803.3514959218,1455803.33219872,-19659.1996379908,-39621.44556611777,-199719.3354986895,60133.49719841181,5869.576342344563,66003.07354075638,1262806.425036678,0.0,0.0
LC3_C1_Static_200_SSP3,1083355.1780258836,1260714.74453882,-19659.1996379908,-37041.3479987149,-120659.01887623062,60257.964396543386,5448.030705445032,65705.99510198842,1149061.173127872,0.0,0.0
LC3_C2_Static_200_SSP3,1164188.202444726,1275511.5222987202,-19659.1996379908,-37041.3479987149,-54622.77221728841,60703.17784594661,5568.389541856387,66271.56738780299,1230459.769832529,0.0,0.0
LC3_C3_Static_200_SSP3,1100572.6122241383,1263866.4581987204,-19659.1996379908,-37041.3479987149,-106593.29833787598,60352.79486154076,5473.667137449916,65826.46199899068,1166399.074223129,0.0,0.0
EST_T1_Static_200_SSP3,12066.53163570688,845546.7019799975,-744950.5477458346,0.0,-88529.622598456,25392.599894180934,8411.977824524338,33804.57771870527,45871.10935441218,0.0,0.0
EST_T2_Static_200_SSP3,700326.2454715418,788855.8680699976,1.1641532182693481e-10,0.0,-88529.622598456,25095.613637180024,3893.0948906794433,28988.708527859468,729314.9539994013,0.0,0.0
EST_T3_Static_200_SSP3,870104.4512115413,958634.0738099972,1.1641532182693481e-10,0.0,-88529.622598456,32367.11064025214,5294.709218700327,37661.81985895247,907766.2710704937,0.0,0.0
EST_T4_Static_200_SSP3,148837.2484927749,982317.4188370655,-744950.5477458346,0.0,-88529.622598456,980337.9472975126,5376.620491027701,985714.5677885403,1134551.8162813152,0.0,0.0
EST_T5_Static_200_SSP3,306103.3284647779,1139583.4988090685,-744950.5477458346,0.0,-88529.622598456,33030.37973445182,5376.620491027701,38407.00022547952,344510.3286902574,0.0,0.0
EST_T6_Static_200_SSP3,178651.25854054943,1012131.42888484,-744950.5477458346,0.0,-88529.622598456,-13348.76352572694,3168.1766793758857,-10180.586846351054,168470.6716941984,0.0,0.0
EST_T7_Static_200_SSP3,213197.47711748478,979632.0981646503,-677904.9984487095,0.0,-88529.622598456,480739.5789570582,5651.011573035676,486390.5905300939,699588.0676475787,0.0,0.0
