,CO2_net,CO2_nonbio,CO2_bio,Life_carbonation,EOL_carbonation,CH4,N2O,MN,Net,Low_Error,High_Error
BAU_C1_Dynamic_20_SSP1,1344295.0316418973,1403725.2016169904,-8110.573074360892,-19137.905003731008,-32181.691897001467,243852.96352806233,6455.585285993327,250308.54881405566,1594603.5804559528,0.0,0.0
BAU_C2_Dynamic_20_SSP1,1365805.353485029,1407276.487489907,-8110.573074360892,-19137.905003731008,-14222.65592678629,244378.49202365143,6489.024549527979,250867.5165731794,1616672.8700582085,0.0,0.0
BAU_C3_Dynamic_20_SSP1,1348876.7301937714,1404481.6255072088,-8110.573074360892,-19137.905003731008,-28356.41723534563,243964.90109794456,6462.707849084329,250427.6089470289,1599304.3391408,0.0,0.0
LC3_C1_Dynamic_20_SSP1,1168654.2287477183,1211788.3276169898,-8110.573074360892,-17891.669248326223,-17131.856546584535,244931.52155484387,5997.278972528983,250928.80052737286,1419583.029275091,0.0,0.0
LC3_C2_Dynamic_20_SSP1,1181583.2923222538,1215339.6134899065,-8110.573074360892,-17891.669248326223,-7754.078844965579,245457.05005043297,6030.718236063635,251487.7682864966,1433071.0606087504,0.0,0.0
LC3_C3_Dynamic_20_SSP1,1171408.1192883814,1212544.7515072082,-8110.573074360892,-17891.669248326223,-15134.389896139683,245043.4591247261,6004.401535619985,251047.86066034608,1422455.9799487274,0.0,0.0
EST_T1_Dynamic_20_SSP1,757740.7033738027,1062413.9847019687,-292103.81085415796,0.0,-12569.470474008078,147921.45915255955,6680.78465979885,154602.24381235839,912342.9471861613,0.0,0.0
EST_T2_Dynamic_20_SSP1,697263.8513517453,863845.6596991156,-154012.33787336215,0.0,-12569.470474008078,147559.41201256737,5397.875552001961,152957.28756456933,850221.1389163147,0.0,0.0
EST_T3_Dynamic_20_SSP1,743675.6995027651,910257.5078501353,-154012.33787336215,0.0,-12569.470474008078,157321.83877477873,5841.674134811348,163163.5129095901,906839.2124123551,0.0,0.0
EST_T4_Dynamic_20_SSP1,610994.3079975917,915667.5893257577,-292103.81085415796,0.0,-12569.470474008078,1080064.4294916024,5869.383542820643,1085933.813034423,1696928.1210320147,0.0,0.0
EST_T5_Dynamic_20_SSP1,642112.8708546361,946786.1521828021,-292103.81085415796,0.0,-12569.470474008078,158161.93876686812,5869.383542820643,164031.32230968875,806144.1931643249,0.0,0.0
EST_T6_Dynamic_20_SSP1,616893.6675152789,921566.948843445,-292103.81085415796,0.0,-12569.470474008078,113026.60030522133,5363.522697842406,118390.12300306374,735283.7905183428,0.0,0.0
EST_T7_Dynamic_20_SSP1,654113.5539601251,946358.6027200195,-279675.5782858863,0.0,-12569.470474008078,593341.8381043017,5952.353071026635,599294.1911753283,1253407.7451354535,0.0,0.0
BAU_C1_Dynamic_100_SSP1,1305765.905464279,1427782.99884522,-15040.166892087718,-27820.503160266904,-79156.42332858627,91055.2249761329,6715.45027059076,97770.67524672367,1403536.580711003,0.0,0.0
BAU_C2_Dynamic_100_SSP1,1358671.3970119732,1436516.9719776958,-15040.166892087718,-27820.503160266904,-34984.904913367995,91500.29850489946,6799.17410959514,98299.4726144946,1456970.8696264678,0.0,0.0
BAU_C3_Dynamic_100_SSP1,1317034.7751621595,1429643.3351206589,-15040.166892087718,-27820.503160266904,-69747.88990614477,91150.02563802557,6733.283448193838,97883.30908621941,1414918.0842483789,0.0,0.0
LC3_C1_Dynamic_100_SSP1,1152658.367510488,1235846.1248452195,-15040.166892087718,-26008.86778194738,-42138.72266069628,91426.6342919489,6248.874639655755,97675.50893160465,1250333.8764420927,0.0,0.0
LC3_C2_Dynamic_100_SSP1,1184457.6185534454,1244580.0979776953,-15040.166892087718,-26008.86778194738,-19073.44475021462,91871.70782071546,6332.598478660136,98204.30629937559,1282661.924852821,0.0,0.0
LC3_C3_Dynamic_100_SSP1,1159431.6079808595,1237706.4611206583,-15040.166892087718,-26008.86778194738,-37225.81846576366,91521.43495384157,6266.707817258834,97788.1427711004,1257219.7507519599,0.0,0.0
EST_T1_Dynamic_100_SSP1,685352.4731233671,1268424.7154243132,-552155.2884280883,0.0,-30916.953872857837,42389.47542340916,7877.875391242747,50267.35081465191,735619.823938019,0.0,0.0
EST_T2_Dynamic_100_SSP1,551253.3583555347,761796.1743045335,-179625.86207614088,0.0,-30916.953872857837,42046.89894978603,4411.921861934219,46458.82081172025,597712.1791672551,0.0,0.0
EST_T3_Dynamic_100_SSP1,716893.3773049058,927436.1932539046,-179625.86207614088,0.0,-30916.953872857837,54006.264227457366,6026.457372043776,60032.72159950114,776926.0989044069,0.0,0.0
EST_T4_Dynamic_100_SSP1,362477.73896463437,945549.9812655805,-552155.2884280883,0.0,-30916.953872857837,889332.1690222628,6141.666535567598,895473.8355578304,1257951.5745224645,0.0,0.0
EST_T5_Dynamic_100_SSP1,444249.2560039341,1027321.4983048802,-552155.2884280883,0.0,-30916.953872857837,55119.48516887149,6141.666535567598,61261.15170443909,505510.40770837304,0.0,0.0
EST_T6_Dynamic_100_SSP1,377979.7266218931,961051.9689228393,-552155.2884280883,0.0,-30916.953872857837,14277.343821447794,4788.411037424957,19065.75485887275,397045.48148076585,0.0,0.0
EST_T7_Dynamic_100_SSP1,465008.3017739657,1014552.8957032366,-518627.640056413,0.0,-30916.953872857837,448250.4829014697,6281.711263543977,454532.1941650137,919540.4959389792,0.0,0.0
BAU_C1_Dynamic_200_SSP1,1291465.5044770865,1437712.5352881681,-17020.649963270727,-30178.986811497183,-99047.39403631377,55726.5174244886,5747.8673601737155,61474.38478466232,1352939.8892617489,0.0,0.0
BAU_C2_Dynamic_200_SSP1,1357663.6391976962,1448640.589338503,-17020.649963270727,-30178.986811497183,-43777.31336603888,56055.326623205394,5836.757515252928,61892.08413845832,1419555.7233361548,0.0,0.0
BAU_C3_Dynamic_200_SSP1,1305565.7071703163,1440040.2107986293,-17020.649963270727,-30178.986811497183,-87274.8668535452,55796.55378400558,5766.800963094263,61563.35474709984,1367129.061917416,0.0,0.0
LC3_C1_Dynamic_200_SSP1,1147813.6321706206,1245775.6612881685,-17020.649963270727,-28213.77001169354,-52727.6091425839,55945.81508761756,5351.958155279068,61297.77324289663,1209111.405413517,0.0,0.0
LC3_C2_Dynamic_200_SSP1,1187602.3411678253,1256703.7153385035,-17020.649963270727,-28213.77001169354,-23866.954195714196,56274.62428633435,5440.84831035828,61715.472596692634,1249317.8137645177,0.0,0.0
LC3_C3_Dynamic_200_SSP1,1156288.627184765,1248103.3367986297,-17020.649963270727,-28213.77001169354,-46580.289638900605,56015.85144713453,5370.891758199616,61386.74320533415,1217675.370390099,0.0,0.0
EST_T1_Dynamic_200_SSP1,640697.437206242,1310509.2512130616,-631125.7256140083,0.0,-38686.088392811405,20017.53600755067,6769.409387344148,26786.945394894818,667484.382601137,0.0,0.0
EST_T2_Dynamic_200_SSP1,472801.4514739129,651442.0606090018,-139954.52074227744,0.0,-38686.088392811405,19735.20843350089,2792.898388908265,22528.106822409158,495329.55829632207,0.0,0.0
EST_T3_Dynamic_200_SSP1,750977.2047718947,929617.8139069835,-139954.52074227744,0.0,-38686.088392811405,31572.511692734675,5095.351481475432,36667.863174210106,787645.0679461048,0.0,0.0
EST_T4_Dynamic_200_SSP1,288671.3232561509,958483.1372629706,-631125.7256140083,0.0,-38686.088392811405,669705.7931039997,5271.233112923406,674977.0262169231,963648.3494730738,0.0,0.0
EST_T5_Dynamic_200_SSP1,394420.71169149963,1064232.5256983193,-631125.7256140083,0.0,-38686.088392811405,32714.04035092491,5271.233112923406,37985.273463848316,432405.98515534797,0.0,0.0
EST_T6_Dynamic_200_SSP1,308718.96054652386,978530.7745533435,-631125.7256140083,0.0,-38686.088392811405,1527.6202608937128,3786.223869241707,5313.84413013542,314032.8046766593,0.0,0.0
EST_T7_Dynamic_200_SSP1,409828.1799324491,1035434.585500813,-586920.3171755525,0.0,-38686.088392811405,332340.7539738231,5347.178690987775,337687.93266481085,747516.1125972602,0.0,0.0
BAU_C1_Dynamic_20_SSP2,1333880.2246718453,1403725.2016169904,-8110.573074360892,-20329.848976892983,-41404.55489389127,243852.96352806233,6455.585285993327,250308.54881405566,1584188.7734859008,13906.75430200994,10414.806970051955
BAU_C2_Dynamic_20_SSP2,1360536.788476814,1407276.487489907,-8110.573074360892,-20329.848976892983,-18299.276961839365,244378.49202365143,6489.024549527979,250867.5165731794,1611404.3050499933,6665.802322093397,5268.565008215141
BAU_C3_Dynamic_20_SSP2,1339558.0727615908,1404481.6255072088,-8110.573074360892,-20329.848976892983,-36483.13069436423,243964.90109794456,6462.707849084329,250427.6089470289,1589985.6817086195,12364.431530287722,9318.657432180597
LC3_C1_Dynamic_20_SSP2,1162630.1417651232,1211788.3276169898,-8110.573074360892,-19005.995363237773,-22041.61741426804,244931.52155484387,5997.278972528983,250928.80052737286,1413558.942292496,7776.893460356165,6024.086982594803
LC3_C2_Dynamic_20_SSP2,1178246.4400093218,1215339.6134899065,-8110.573074360892,-19005.995363237773,-9976.60504298619,245457.05005043297,6030.718236063635,251487.7682864966,1429734.2082958184,3995.8686279237736,3336.852312932024
LC3_C3_Dynamic_20_SSP2,1165956.4132904245,1212544.7515072082,-8110.573074360892,-19005.995363237773,-19471.76977918501,245043.4591247261,6004.401535619985,251047.86066034608,1417004.2739507705,6971.535171048017,5451.705997956917
EST_T1_Dynamic_20_SSP2,754138.3976133536,1062413.9847019687,-292103.81085415796,0.0,-16171.776234457258,147921.45915255955,6680.78465979885,154602.24381235839,908740.641425712,5069.23905335716,3602.305760449264
EST_T2_Dynamic_20_SSP2,693661.5455912962,863845.6596991156,-154012.33787336215,0.0,-16171.776234457258,147559.41201256737,5397.875552001961,152957.28756456933,846618.8331558655,5069.23905335716,3602.305760449148
EST_T3_Dynamic_20_SSP2,740073.3937423159,910257.5078501353,-154012.33787336215,0.0,-16171.776234457258,157321.83877477873,5841.674134811348,163163.5129095901,903236.9066519061,5069.23905335716,3602.3057604490314
EST_T4_Dynamic_20_SSP2,607392.0022371425,915667.5893257577,-292103.81085415796,0.0,-16171.776234457258,1080064.4294916024,5869.383542820643,1085933.813034423,1693325.8152715655,5069.23905335716,3602.305760449264
EST_T5_Dynamic_20_SSP2,638510.5650941869,946786.1521828021,-292103.81085415796,0.0,-16171.776234457258,158161.93876686812,5869.383542820643,164031.32230968875,802541.8874038756,5069.23905335716,3602.305760449264
EST_T6_Dynamic_20_SSP2,613291.3617548298,921566.948843445,-292103.81085415796,0.0,-16171.776234457258,113026.60030522133,5363.522697842406,118390.12300306374,731681.4847578937,5069.23905335716,3602.3057604490314
EST_T7_Dynamic_20_SSP2,650511.2481996759,946358.6027200195,-279675.5782858863,0.0,-16171.776234457258,593341.8381043017,5952.353071026635,599294.1911753283,1249805.4393750043,5069.239053356927,3602.305760449264
BAU_C1_Dynamic_100_SSP2,1280718.6965756193,1427782.99884522,-15040.166892087718,-30182.487467904706,-101841.64790960816,91055.2249761329,6715.45027059076,97770.67524672367,1378489.3718223432,33847.597340082284,25047.20888865972
BAU_C2_Dynamic_100_SSP2,1346281.7347906404,1436516.9719776958,-15040.166892087718,-30182.487467904706,-45012.582827062746,91500.29850489946,6799.17410959514,98299.4726144946,1444581.2074051353,16037.961865558755,12389.662221332546
BAU_C3_Dynamic_100_SSP2,1294683.6237136403,1429643.3351206589,-15040.166892087718,-30182.487467904706,-89737.057047026,91150.02563802557,6733.283448193838,97883.30908621941,1392566.9327998597,30054.14498400851,22351.151448519202
LC3_C1_Dynamic_100_SSP2,1138373.7974793033,1235846.1248452195,-15040.166892087718,-28217.04270985937,-54215.1177639692,91426.6342919489,6248.874639655755,97675.50893160465,1236049.3064109078,18793.473839934915,14284.570031184936
LC3_C2_Dynamic_100_SSP2,1176782.4841778865,1244580.0979776953,-15040.166892087718,-28217.04270985937,-24540.404197861655,91871.70782071546,6332.598478660136,98204.30629937559,1274986.790477262,9493.786624718457,7675.134375558933
LC3_C3_Dynamic_100_SSP2,1146554.8477443228,1237706.4611206583,-15040.166892087718,-28217.04270985937,-47894.403774388324,91521.43495384157,6266.707817258834,97788.1427711004,1244342.9905154232,16812.640463093994,12876.760236536618
EST_T1_Dynamic_100_SSP2,676491.9303747694,1268424.7154243132,-552155.2884280883,0.0,-39777.49662145557,42389.47542340916,7877.875391242747,50267.35081465191,726759.2811894213,12468.739786875201,8860.542748597683
EST_T2_Dynamic_100_SSP2,542392.815606937,761796.1743045335,-179625.86207614088,0.0,-39777.49662145557,42046.89894978603,4411.921861934219,46458.82081172025,588851.6364186574,12468.739786875201,8860.542748597683
EST_T3_Dynamic_100_SSP2,708032.8345563081,927436.1932539046,-179625.86207614088,0.0,-39777.49662145557,54006.264227457366,6026.457372043776,60032.72159950114,768065.5561558092,12468.739786875201,8860.542748597683
EST_T4_Dynamic_100_SSP2,353617.1962160366,945549.9812655805,-552155.2884280883,0.0,-39777.49662145557,889332.1690222628,6141.666535567598,895473.8355578304,1249091.031773867,12468.739786875434,8860.54274859745
EST_T5_Dynamic_100_SSP2,435388.71325533633,1027321.4983048802,-552155.2884280883,0.0,-39777.49662145557,55119.48516887149,6141.666535567598,61261.15170443909,496649.86495977535,12468.739786875085,8860.542748597683
EST_T6_Dynamic_100_SSP2,369119.1838732954,961051.9689228393,-552155.2884280883,0.0,-39777.49662145557,14277.343821447794,4788.411037424957,19065.75485887275,388184.9387321682,12468.739786875201,8860.542748597683
EST_T7_Dynamic_100_SSP2,456147.75902536797,1014552.8957032366,-518627.640056413,0.0,-39777.49662145557,448250.4829014697,6281.711263543977,454532.1941650137,910679.9531903818,12468.739786875434,8860.54274859745
BAU_C1_Dynamic_200_SSP2,1260335.3229534058,1437712.5352881681,-17020.649963270727,-32923.44323921742,-127433.11913227441,55726.5174244886,5747.8673601737155,61474.38478466232,1321809.707738068,42217.86476415978,31130.18152368092
BAU_C2_Dynamic_200_SSP2,1342371.3476272847,1448640.589338503,-17020.649963270727,-32923.44323921742,-56325.14850873038,56055.326623205394,5836.757515252928,61892.08413845832,1404263.431765743,19933.368153058225,15292.291570411762
BAU_C3_Dynamic_200_SSP2,1277808.9962066817,1440040.2107986293,-17020.649963270727,-32923.44323921742,-112287.12138945956,55796.55378400558,5766.800963094263,61563.35474709984,1339372.3509537815,37471.26698599523,27756.71096363454
LC3_C1_Dynamic_200_SSP2,1130136.8620438895,1245775.6612881685,-17020.649963270727,-30779.510967229136,-67838.6383137794,55945.81508761756,5351.958155279068,61297.77324289663,1191434.635286786,23389.630792190088,17676.770126731135
LC3_C2_Dynamic_200_SSP2,1178195.6924155063,1256703.7153385035,-17020.649963270727,-30779.510967229136,-30707.861992497474,56274.62428633435,5440.84831035828,61715.472596692634,1239911.165012199,11753.305324170273,9406.648752318695
LC3_C3_Dynamic_200_SSP2,1140373.3929107836,1248103.3367986297,-17020.649963270727,-30779.510967229136,-59929.78295734638,56015.85144713453,5370.891758199616,61386.74320533415,1201760.1361161177,20911.093467501923,15915.234273981303
EST_T1_Dynamic_200_SSP2,629610.3244164375,1310509.2512130616,-631125.7256140083,0.0,-49773.20118261585,20017.53600755067,6769.409387344148,26786.945394894818,656397.2698113325,15602.016068107681,11087.112789804582
EST_T2_Dynamic_200_SSP2,461714.3386841085,651442.0606090018,-139954.52074227744,0.0,-49773.20118261585,19735.20843350089,2792.898388908265,22528.106822409158,484242.4455065176,15602.016068107681,11087.112789804465
EST_T3_Dynamic_200_SSP2,739890.0919820903,929617.8139069835,-139954.52074227744,0.0,-49773.20118261585,31572.511692734675,5095.351481475432,36667.863174210106,776557.9551563002,15602.016068107681,11087.112789804582
EST_T4_Dynamic_200_SSP2,277584.21046634647,958483.1372629706,-631125.7256140083,0.0,-49773.20118261585,669705.7931039997,5271.233112923406,674977.0262169231,952561.2366832695,15602.016068107681,11087.112789804349
EST_T5_Dynamic_200_SSP2,383333.5989016952,1064232.5256983193,-631125.7256140083,0.0,-49773.20118261585,32714.04035092491,5271.233112923406,37985.273463848316,421318.8723655436,15602.016068107681,11087.112789804349
EST_T6_Dynamic_200_SSP2,297631.84775671945,978530.7745533435,-631125.7256140083,0.0,-49773.20118261585,1527.6202608937128,3786.223869241707,5313.84413013542,302945.6918868548,15602.016068107681,11087.112789804465
EST_T7_Dynamic_200_SSP2,398741.06714264466,1035434.585500813,-586920.3171755525,0.0,-49773.20118261585,332340.7539738231,5347.178690987775,337687.93266481085,736428.9998074556,15602.016068107681,11087.112789804582
BAU_C1_Dynamic_20_SSP3,1319973.4703698352,1403725.2016169904,-8110.573074360892,-21258.201543231375,-54382.95662956302,243852.96352806233,6455.585285993327,250308.54881405566,1570282.019183891,0.0,0.0
BAU_C2_Dynamic_20_SSP3,1353870.9861547207,1407276.487489907,-8110.573074360892,-21258.201543231375,-24036.726717594374,244378.49202365143,6489.024549527979,250867.5165731794,1604738.5027279,0.0,0.0
BAU_C3_Dynamic_20_SSP3,1327193.6412313029,1404481.6255072088,-8110.573074360892,-21258.201543231375,-47919.209658313695,243964.90109794456,6462.707849084329,250427.6089470289,1577621.2501783317,0.0,0.0
LC3_C1_Dynamic_20_SSP3,1154853.248304767,1211788.3276169898,-8110.573074360892,-19873.894804661628,-28950.611433200356,244931.52155484387,5997.278972528983,250928.80052737286,1405782.04883214,0.0,0.0
LC3_C2_Dynamic_20_SSP3,1174250.571381398,1215339.6134899065,-8110.573074360892,-19873.894804661628,-13104.57422948614,245457.05005043297,6030.718236063635,251487.7682864966,1425738.3396678946,0.0,0.0
LC3_C3_Dynamic_20_SSP3,1158984.8781193765,1212544.7515072082,-8110.573074360892,-19873.894804661628,-25575.40550880924,245043.4591247261,6004.401535619985,251047.86066034608,1410032.7387797225,0.0,0.0
EST_T1_Dynamic_20_SSP3,749069.1585599964,1062413.9847019687,-292103.81085415796,0.0,-21241.015287814458,147921.45915255955,6680.78465979885,154602.24381235839,903671.4023723549,0.0,0.0
EST_T2_Dynamic_20_SSP3,688592.306537939,863845.6596991156,-154012.33787336215,0.0,-21241.015287814458,147559.41201256737,5397.875552001961,152957.28756456933,841549.5941025084,0.0,0.0
EST_T3_Dynamic_20_SSP3,735004.1546889588,910257.5078501353,-154012.33787336215,0.0,-21241.015287814458,157321.83877477873,5841.674134811348,163163.5129095901,898167.6675985489,0.0,0.0
EST_T4_Dynamic_20_SSP3,602322.7631837854,915667.5893257577,-292103.81085415796,0.0,-21241.015287814458,1080064.4294916024,5869.383542820643,1085933.813034423,1688256.5762182083,0.0,0.0
EST_T5_Dynamic_20_SSP3,633441.3260408298,946786.1521828021,-292103.81085415796,0.0,-21241.015287814458,158161.93876686812,5869.383542820643,164031.32230968875,797472.6483505184,0.0,0.0
EST_T6_Dynamic_20_SSP3,608222.1227014726,921566.948843445,-292103.81085415796,0.0,-21241.015287814458,113026.60030522133,5363.522697842406,118390.12300306374,726612.2457045366,0.0,0.0
EST_T7_Dynamic_20_SSP3,645442.0091463188,946358.6027200195,-279675.5782858863,0.0,-21241.015287814458,593341.8381043017,5952.353071026635,599294.1911753283,1244736.2003216473,0.0,0.0
BAU_C1_Dynamic_100_SSP3,1246871.0992355372,1427782.99884522,-15040.166892087718,-32107.461358972578,-133764.27135862247,91055.2249761329,6715.45027059076,97770.67524672367,1344641.774482261,0.0,0.0
BAU_C2_Dynamic_100_SSP3,1330243.772925082,1436516.9719776958,-15040.166892087718,-32107.461358972578,-59125.570801553484,91500.29850489946,6799.17410959514,98299.4726144946,1428543.2455395765,0.0,0.0
BAU_C3_Dynamic_100_SSP3,1264629.4787296318,1429643.3351206589,-15040.166892087718,-32107.461358972578,-117866.22813996678,91150.02563802557,6733.283448193838,97883.30908621941,1362512.7878158512,0.0,0.0
LC3_C1_Dynamic_100_SSP3,1119580.3236393682,1235846.1248452195,-15040.166892087718,-30016.664777370635,-71208.96953639301,91426.6342919489,6248.874639655755,97675.50893160465,1217255.8325709729,0.0,0.0
LC3_C2_Dynamic_100_SSP3,1167288.697553168,1244580.0979776953,-15040.166892087718,-30016.664777370635,-32234.568755068813,91871.70782071546,6332.598478660136,98204.30629937559,1265493.0038525437,0.0,0.0
LC3_C3_Dynamic_100_SSP3,1129742.2072812289,1237706.4611206583,-15040.166892087718,-30016.664777370635,-62907.42216997098,91521.43495384157,6266.707817258834,97788.1427711004,1227530.3500523292,0.0,0.0
EST_T1_Dynamic_100_SSP3,664023.1905878941,1268424.7154243132,-552155.2884280883,0.0,-52246.23640833079,42389.47542340916,7877.875391242747,50267.35081465191,714290.5414025461,0.0,0.0
EST_T2_Dynamic_100_SSP3,529924.0758200618,761796.1743045335,-179625.86207614088,0.0,-52246.23640833079,42046.89894978603,4411.921861934219,46458.82081172025,576382.8966317822,0.0,0.0
EST_T3_Dynamic_100_SSP3,695564.0947694329,927436.1932539046,-179625.86207614088,0.0,-52246.23640833079,54006.264227457366,6026.457372043776,60032.72159950114,755596.816368934,0.0,0.0
EST_T4_Dynamic_100_SSP3,341148.4564291614,945549.9812655805,-552155.2884280883,0.0,-52246.23640833079,889332.1690222628,6141.666535567598,895473.8355578304,1236622.2919869917,0.0,0.0
EST_T5_Dynamic_100_SSP3,422919.97346846113,1027321.4983048802,-552155.2884280883,0.0,-52246.23640833079,55119.48516887149,6141.666535567598,61261.15170443909,484181.12517290027,0.0,0.0
EST_T6_Dynamic_100_SSP3,356650.4440864202,961051.9689228393,-552155.2884280883,0.0,-52246.23640833079,14277.343821447794,4788.411037424957,19065.75485887275,375716.19894529297,0.0,0.0
EST_T7_Dynamic_100_SSP3,443679.01923849276,1014552.8957032366,-518627.640056413,0.0,-52246.23640833079,448250.4829014697,6281.711263543977,454532.1941650137,898211.2134035063,0.0,0.0
BAU_C1_Dynamic_200_SSP3,1218117.4581892458,1437712.5352881681,-17020.649963270727,-35196.94472072469,-167377.48241492707,55726.5174244886,5747.8673601737155,61474.38478466232,1279591.8429739082,0.0,0.0
BAU_C2_Dynamic_200_SSP3,1322437.9794742267,1448640.589338503,-17020.649963270727,-35196.94472072469,-73985.01518028123,56055.326623205394,5836.757515252928,61892.08413845832,1384330.0636126848,0.0,0.0
BAU_C3_Dynamic_200_SSP3,1240337.7292206865,1440040.2107986293,-17020.649963270727,-35196.94472072469,-147484.88689394752,55796.55378400558,5766.800963094263,61563.35474709984,1301901.0839677863,0.0,0.0
LC3_C1_Dynamic_200_SSP3,1106747.2312516992,1245775.6612881685,-17020.649963270727,-32904.96495682601,-89102.81511637263,55945.81508761756,5351.958155279068,61297.77324289663,1168045.0044945958,0.0,0.0
LC3_C2_Dynamic_200_SSP3,1166442.387091336,1256703.7153385035,-17020.649963270727,-32904.96495682601,-40335.713327070735,56274.62428633435,5440.84831035828,61715.472596692634,1228157.8596880287,0.0,0.0
LC3_C3_Dynamic_200_SSP3,1119462.2994432817,1248103.3367986297,-17020.649963270727,-32904.96495682601,-78715.42243525137,56015.85144713453,5370.891758199616,61386.74320533415,1180849.0426486158,0.0,0.0
EST_T1_Dynamic_200_SSP3,614008.3083483299,1310509.2512130616,-631125.7256140083,0.0,-65375.217250723515,20017.53600755067,6769.409387344148,26786.945394894818,640795.2537432248,0.0,0.0
EST_T2_Dynamic_200_SSP3,446112.32261600083,651442.0606090018,-139954.52074227744,0.0,-65375.217250723515,19735.20843350089,2792.898388908265,22528.106822409158,468640.4294384099,0.0,0.0
EST_T3_Dynamic_200_SSP3,724288.0759139826,929617.8139069835,-139954.52074227744,0.0,-65375.217250723515,31572.511692734675,5095.351481475432,36667.863174210106,760955.9390881925,0.0,0.0
EST_T4_Dynamic_200_SSP3,261982.1943982388,958483.1372629706,-631125.7256140083,0.0,-65375.217250723515,669705.7931039997,5271.233112923406,674977.0262169231,936959.2206151618,0.0,0.0
EST_T5_Dynamic_200_SSP3,367731.58283358754,1064232.5256983193,-631125.7256140083,0.0,-65375.217250723515,32714.04035092491,5271.233112923406,37985.273463848316,405716.85629743594,0.0,0.0
EST_T6_Dynamic_200_SSP3,282029.83168861177,978530.7745533435,-631125.7256140083,0.0,-65375.217250723515,1527.6202608937128,3786.223869241707,5313.84413013542,287343.67581874714,0.0,0.0
EST_T7_Dynamic_200_SSP3,383139.051074537,1035434.585500813,-586920.3171755525,0.0,-65375.217250723515,332340.7539738231,5347.178690987775,337687.93266481085,720826.9837393479,0.0,0.0
